GEO_ID,NAME,DP03_0052E,DP03_0052M,DP03_0052PE,DP03_0053E,DP03_0053M,DP03_0053PE,DP03_0054E,DP03_0054M,DP03_0054PE,DP03_0055E,DP03_0055M,DP03_0055PE,DP03_0056E,DP03_0056M,DP03_0056PE,DP03_0057E,DP03_0057M,DP03_0057PE,DP03_0058E,DP03_0058M,DP03_0058PE,DP03_0059E,DP03_0059M,DP03_0059PE,DP03_0060E,DP03_0060M,DP03_0060PE,DP03_0061E,DP03_0061M,DP03_0061PE,DP03_0062E,DP03_0062M,DP03_0062PE,DP03_0088E,DP03_0088M,DP03_0088PE
0500000US24003,"Anne Arundel County, Maryland",4604,1200,2.1,2882,1161,1.3,8641,1272,4.0,10386,1641,4.8,14214,2217,6.6,34349,3001,15.9,30813,3162,14.3,45730,2926,21.2,28962,2775,13.4,35619,2841,16.5,101147,2184,(X),48571,1531,(X)
0500000US24005,"Baltimore County, Maryland",16514,2515,5.3,7222,1544,2.3,19191,2198,6.1,19887,2387,6.4,32792,3279,10.5,56800,4046,18.2,42628,3413,13.6,57943,3244,18.5,27252,2576,8.7,32237,2545,10.3,77358,3160,(X),41370,1322,(X)
0500000US24009,"Calvert County, Maryland",1522,721,4.6,597,432,1.8,850,415,2.6,1215,566,3.7,2346,681,7.2,3176,1039,9.7,4139,948,12.6,8526,1401,26.0,5066,900,15.5,5343,1078,16.3,112380,6174,(X),46276,2508,(X)
0500000US24013,"Carroll County, Maryland",1130,564,1.9,1026,455,1.7,3078,823,5.1,3548,827,5.9,4745,1157,7.8,8052,1188,13.3,7512,1320,12.4,16136,1480,26.6,7179,1049,11.8,8211,1177,13.5,103014,5381,(X),43364,1828,(X)
0500000US24015,"Cecil County, Maryland",2276,952,5.9,1269,827,3.3,3299,973,8.6,3301,994,8.6,2882,869,7.5,5827,1392,15.1,6530,1320,16.9,6745,1232,17.5,3896,1140,10.1,2522,715,6.5,76441,6318,(X),35416,2645,(X)
0500000US24017,"Charles County, Maryland",1733,697,3.0,766,538,1.3,1364,711,2.4,2206,815,3.8,4592,1237,8.0,8213,1824,14.2,7833,1540,13.6,15130,2183,26.2,7882,1274,13.7,8013,1431,13.9,103932,4980,(X),45133,3341,(X)
0500000US24021,"Frederick County, Maryland",1710,785,1.8,1966,622,2.1,3170,838,3.4,4522,1138,4.8,8368,1516,8.9,12928,1647,13.8,12180,1604,13.0,23401,1811,25.0,12582,1404,13.4,12941,1264,13.8,103516,3391,(X),45204,1444,(X)
0500000US24025,"Harford County, Maryland",3277,1167,3.4,2128,538,2.2,4346,1310,4.5,4600,1089,4.8,8432,1581,8.8,14654,1970,15.2,14072,1961,14.6,21568,2177,22.4,10880,1548,11.3,12246,1494,12.7,92331,5670,(X),43216,1763,(X)
0500000US24027,"Howard County, Maryland",3923,1179,3.4,1164,559,1.0,4798,1298,4.1,4010,1028,3.5,6621,1211,5.7,11953,1929,10.3,13490,2078,11.7,23864,2402,20.6,15810,1769,13.7,30139,1923,26.0,121618,4896,(X),56192,2096,(X)
0500000US24031,"Montgomery County, Maryland",12617,1950,3.4,7647,1552,2.1,14826,2556,4.0,19246,2862,5.2,22897,2544,6.2,44967,3600,12.2,44491,2915,12.1,68058,3120,18.4,46161,2882,12.5,87987,3554,23.9,110389,3032,(X),54814,955,(X)
